WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:8000
Press CTRL+C to quit
127.0.0.1 - - [23/Nov/2025 10:34:18] "POST /api/login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:32] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [23/Nov/2025 10:35:33] "GET /static/style.css HTTP/1.1" 304 -
